from_destination_id,to_destination_id,distance_km,duration_minutes_car,duration_minutes_bike,transport_mode
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a5793e5555555_0x671d03b55e0bf9e6,0.14,0,1,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a579223c8f207_0xa975d57f68add612,0.16,0,1,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a579a8898dc95_0xaff8cf5e48dbcda8,0.17,0,1,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a558af6920327_0xae41767ac957bc23,0.18,0,1,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a5526ebdd6839_0x52350109c7599902,1.58,2,6,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a551b479e339b_0x273dfe1a78d3b4d5,1.59,2,6,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a55b6ffb3a311_0xd95ac4c698481557,2.29,3,9,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a5455081ed15b_0xb77942b9cbe913dc,2.33,3,9,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a54568ee17379_0x67986fd2b3de496d,2.46,4,10,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a55abb3c38557_0xda0017ba74bf5298,2.5,4,10,car
0x2e7a54f779dfd8a3_0x1c94c6d568a2b581,0x2e7a55c1a34e8e55_0x94dd97ea3e5f9523,2.69,4,11,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a570ccf98e45d_0xa2a45b8fad610e20,0.2,0,1,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a577696ff6141_0xd5e65749dff03dca,0.63,1,3,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a57e2083b1b59_0xd58c23699705d0d0,0.76,1,3,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a5777400730f7_0x2e7cbebd10de7798,0.87,1,3,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a576dd45f6243_0x47c4825dd428cf01,0.92,1,4,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a576dabe6a4b7_0xb308943da49fcd93,0.96,1,4,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a5700d26f3791_0x2438d479031fe746,1.01,2,4,car
0x2e7a57733faba62f_0x549b89f4ce016d6b,0x2e7a579fadf5e2e7_0xd6238cbe746e1305,1.1,2,4,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a59d31486f8db_0xe6198e92405b4528,0.39,1,2,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a590c1917b547_0xae5b921ee38fb053,0.78,1,3,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a59adfa9983bd_0xc6bdd36fac4bf293,1.25,2,5,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a581cc1eb3681_0x6cd460dd2c6d9e9c,1.4,2,6,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a5816fab20a51_0xd56cacb8434acfa2,1.69,3,7,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a5977418e7ac3_0xb15b4e2985e227ae,2.01,3,8,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7a5818b14eeda1_0x4cf80887f0f34dc1,2.05,3,8,car
0x2e7a580936ba3a2b_0xdb36b153873be1fb,0x2e7af7f8bee8c6fb_0x86e7487f7eae96be,2.05,3,8,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a5777400730f7_0x2e7cbebd10de7798,0.1,0,0,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a577696ff6141_0xd5e65749dff03dca,0.37,1,1,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a5782abf69cd9_0x2bf72f6d9a1959e1,0.48,1,2,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a5782a03a8acb_0x2a5963df355bef87,0.54,1,2,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a573eb8fd05a1_0x7eb9cddae411aab9,0.68,1,3,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a5782135700a9_0x9f5e811571ff616d,0.8,1,3,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a577e9df4c7a3_0x601b735a834a2f77,0.91,1,4,car
0x2e7a576dabe6a4b7_0xb308943da49fcd93,0x2e7a469c40e3085f_0x42df295a65ddd691,0.92,1,4,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a57155413928b_0x6eb2e760bdbf5cc,0.34,1,1,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a570071d0dfb5_0x34a94be00497ec93,0.43,1,2,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a57e2083b1b59_0xd58c23699705d0d0,0.68,1,3,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a5700d26f3791_0x2438d479031fe746,0.74,1,3,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a576dd45f6243_0x47c4825dd428cf01,0.82,1,3,car
